algoritmo,size,workers,complejidad,tiempo,speedup,eficiencia,suma
secuencial,12,1,O(n),7e-06,1.0,1.0,6.722449
concurrent.futures.ThreadPoolExecutor,12,1,O(n),0.000622,0.0113,0.0113,6.722449
concurrent.futures.ThreadPoolExecutor,12,2,O(n),0.00087,0.008,0.004,6.722449
concurrent.futures.ThreadPoolExecutor,12,4,O(n),0.002339,0.003,0.0008,6.722449
concurrent.futures.ThreadPoolExecutor,12,8,O(n),0.002111,0.0033,0.0004,6.722449
concurrent.futures.ThreadPoolExecutor,12,16,O(n),0.005738,0.0012,0.0001,6.722449
concurrent.futures.ProcessPoolExecutor,12,1,O(n),0.891016,0.0,0.0,6.722449
concurrent.futures.ProcessPoolExecutor,12,2,O(n),0.879901,0.0,0.0,6.722449
concurrent.futures.ProcessPoolExecutor,12,4,O(n),0.8305,0.0,0.0,6.722449
concurrent.futures.ProcessPoolExecutor,12,8,O(n),0.890784,0.0,0.0,6.722449
concurrent.futures.ProcessPoolExecutor,12,16,O(n),0.963857,0.0,0.0,6.722449
multiprocessing.Pool,12,1,O(n),0.859272,0.0,0.0,6.722449
multiprocessing.Pool,12,2,O(n),0.79834,0.0,0.0,6.722449
multiprocessing.Pool,12,4,O(n),0.771339,0.0,0.0,6.722449
multiprocessing.Pool,12,8,O(n),0.878219,0.0,0.0,6.722449
multiprocessing.Pool,12,16,O(n),1.031143,0.0,0.0,6.722449
threading,12,1,O(n),0.000293,0.0239,0.0239,6.722449
threading,12,2,O(n),0.000532,0.0132,0.0066,6.722449
threading,12,4,O(n),0.000835,0.0084,0.0021,6.722449
threading,12,8,O(n),0.00106,0.0066,0.0008,6.722449
threading,12,16,O(n),0.002297,0.003,0.0002,6.722449
secuencial,1000000,1,O(n),0.139807,1.0,1.0,499676.790765
concurrent.futures.ThreadPoolExecutor,1000000,1,O(n),0.17404,0.8033,0.8033,499676.790765
concurrent.futures.ThreadPoolExecutor,1000000,2,O(n),0.152935,0.9142,0.4571,499676.790765
concurrent.futures.ThreadPoolExecutor,1000000,4,O(n),0.143827,0.972,0.243,499676.790765
concurrent.futures.ThreadPoolExecutor,1000000,8,O(n),0.149082,0.9378,0.1172,499676.790765
concurrent.futures.ThreadPoolExecutor,1000000,16,O(n),0.156604,0.8927,0.0558,499676.790765
concurrent.futures.ProcessPoolExecutor,1000000,1,O(n),1.062551,0.1316,0.1316,499676.790765
concurrent.futures.ProcessPoolExecutor,1000000,2,O(n),1.012434,0.1381,0.0691,499676.790765
concurrent.futures.ProcessPoolExecutor,1000000,4,O(n),0.953611,0.1466,0.0367,499676.790765
concurrent.futures.ProcessPoolExecutor,1000000,8,O(n),0.933873,0.1497,0.0187,499676.790765
concurrent.futures.ProcessPoolExecutor,1000000,16,O(n),0.895198,0.1562,0.0098,499676.790765
multiprocessing.Pool,1000000,1,O(n),1.01941,0.1371,0.1371,499676.790765
multiprocessing.Pool,1000000,2,O(n),1.144344,0.1222,0.0611,499676.790765
multiprocessing.Pool,1000000,4,O(n),0.951149,0.147,0.0367,499676.790765
multiprocessing.Pool,1000000,8,O(n),0.951977,0.1469,0.0184,499676.790765
multiprocessing.Pool,1000000,16,O(n),0.998658,0.14,0.0088,499676.790765
threading,1000000,1,O(n),0.140225,0.997,0.997,499676.790765
threading,1000000,2,O(n),0.167856,0.8329,0.4164,499676.790765
threading,1000000,4,O(n),0.117968,1.1851,0.2963,499676.790765
threading,1000000,8,O(n),0.131531,1.0629,0.1329,499676.790765
threading,1000000,16,O(n),0.12674,1.1031,0.0689,499676.790765
secuencial,100000000,1,O(n),12.825966,1.0,1.0,50001169.193056
concurrent.futures.ThreadPoolExecutor,100000000,1,O(n),12.970011,0.9889,0.9889,50001169.193056
concurrent.futures.ThreadPoolExecutor,100000000,2,O(n),13.213773,0.9707,0.4854,50001169.193060
concurrent.futures.ThreadPoolExecutor,100000000,4,O(n),13.883903,0.9238,0.2309,50001169.193058
concurrent.futures.ThreadPoolExecutor,100000000,8,O(n),13.48047,0.9514,0.1189,50001169.193062
concurrent.futures.ThreadPoolExecutor,100000000,16,O(n),14.338563,0.8945,0.0559,50001169.193061
concurrent.futures.ProcessPoolExecutor,100000000,1,O(n),15.880272,0.8077,0.8077,50001169.193056
concurrent.futures.ProcessPoolExecutor,100000000,2,O(n),9.904585,1.295,0.6475,50001169.193060
concurrent.futures.ProcessPoolExecutor,100000000,4,O(n),6.492346,1.9756,0.4939,50001169.193058
concurrent.futures.ProcessPoolExecutor,100000000,8,O(n),4.935178,2.5989,0.3249,50001169.193062
concurrent.futures.ProcessPoolExecutor,100000000,16,O(n),4.188625,3.0621,0.1914,50001169.193061
multiprocessing.Pool,100000000,1,O(n),17.027689,0.7532,0.7532,50001169.193056
multiprocessing.Pool,100000000,2,O(n),10.30049,1.2452,0.6226,50001169.193060
multiprocessing.Pool,100000000,4,O(n),6.80798,1.884,0.471,50001169.193058
multiprocessing.Pool,100000000,8,O(n),5.084179,2.5227,0.3153,50001169.193062
multiprocessing.Pool,100000000,16,O(n),4.210792,3.046,0.1904,50001169.193061
threading,100000000,1,O(n),13.170624,0.9738,0.9738,50001169.193056
threading,100000000,2,O(n),13.791223,0.93,0.465,50001169.193060
threading,100000000,4,O(n),13.850857,0.926,0.2315,50001169.193058
threading,100000000,8,O(n),13.822554,0.9279,0.116,50001169.193062
threading,100000000,16,O(n),13.973495,0.9179,0.0574,50001169.193061
